instrumentName,lastTradeDate,expiryDate,strike,optionType,spotPrice,bid,ask,mid,volume,openInterest,DerebitIV
BTC-28JUL23-50000-P,2023-4-27,2023-7-28,50000.0,put,26342.82,0.0005,0.0,0.00025,0.0,15.6,0.0
BTC-28JUL23-55000-C,2023-4-27,2023-7-28,55000.0,call,26342.82,0.0,0.001,0.0005,0.0,428.0,40.17
BTC-28JUL23-55000-P,2023-4-27,2023-7-28,55000.0,put,26342.82,0.0,0.0,0.0,0.0,0.0,0.0
BTC-28JUL23-60000-C,2023-4-27,2023-7-28,60000.0,call,26342.82,0.0,0.0005,0.00025,0.0,110.8,40.95
BTC-28JUL23-60000-P,2023-4-27,2023-7-28,60000.0,put,26342.82,0.0,0.0,0.0,0.0,0.0,0.0
BTC-28JUL23-65000-C,2023-4-27,2023-7-28,65000.0,call,26342.82,0.0,0.0005,0.00025,0.0,84.4,44.36
BTC-28JUL23-65000-P,2023-4-27,2023-7-28,65000.0,put,26342.82,0.0,0.0,0.0,0.0,0.0,0.0
BTC-25AUG23-10000-C,2023-5-25,2023-8-25,10000.0,call,26342.82,0.0,0.0,0.0,0.0,0.0,0.0
BTC-25AUG23-10000-P,2023-5-25,2023-8-25,10000.0,put,26342.82,0.0005,0.001,0.00075,0.6,1.5,88.345
BTC-25AUG23-12000-C,2023-5-25,2023-8-25,12000.0,call,26342.82,0.0,0.0,0.0,0.0,0.0,0.0
BTC-25AUG23-12000-P,2023-5-25,2023-8-25,12000.0,put,26342.82,0.001,0.0015,0.00125,0.1,4.7,78.18
BTC-25AUG23-14000-C,2023-5-25,2023-8-25,14000.0,call,26342.82,0.0,0.0,0.0,0.0,0.0,0.0
BTC-25AUG23-14000-P,2023-5-25,2023-8-25,14000.0,put,26342.82,0.0015,0.0025,0.002,0.0,1.3,68.8
BTC-25AUG23-16000-C,2023-5-25,2023-8-25,16000.0,call,26342.82,0.0,0.0,0.0,0.0,0.0,0.0
BTC-25AUG23-16000-P,2023-5-25,2023-8-25,16000.0,put,26342.82,0.003,0.004,0.0035,1.0,37.9,61.725
BTC-25AUG23-18000-C,2023-5-25,2023-8-25,18000.0,call,26342.82,0.0,0.0,0.0,0.0,0.0,0.0
BTC-25AUG23-18000-P,2023-5-25,2023-8-25,18000.0,put,26342.82,0.005,0.006,0.0055,3.8,76.6,54.05
BTC-25AUG23-19000-C,2023-5-25,2023-8-25,19000.0,call,26342.82,0.0,0.0,0.0,0.0,0.0,0.0
BTC-25AUG23-19000-P,2023-5-25,2023-8-25,19000.0,put,26342.82,0.0065,0.0075,0.006999999999999999,7.5,30.0,50.555
BTC-25AUG23-20000-C,2023-5-25,2023-8-25,20000.0,call,26342.82,0.0,0.0,0.0,0.0,0.0,0.0
BTC-25AUG23-20000-P,2023-5-25,2023-8-25,20000.0,put,26342.82,0.0085,0.0095,0.009000000000000001,2.1,143.1,47.265
BTC-25AUG23-21000-C,2023-5-25,2023-8-25,21000.0,call,26342.82,0.0,0.0,0.0,0.0,0.0,0.0
BTC-25AUG23-21000-P,2023-5-25,2023-8-25,21000.0,put,26342.82,0.0115,0.0125,0.012,39.5,48.6,44.515
BTC-25AUG23-22000-C,2023-5-25,2023-8-25,22000.0,call,26342.82,0.0005,0.0,0.00025,0.0,5.0,0.0
BTC-25AUG23-22000-P,2023-5-25,2023-8-25,22000.0,put,26342.82,0.016,0.017,0.0165,12.7,34.6,42.33
BTC-25AUG23-23000-C,2023-5-25,2023-8-25,23000.0,call,26342.82,0.0,0.0,0.0,0.0,5.0,0.0
BTC-25AUG23-23000-P,2023-5-25,2023-8-25,23000.0,put,26342.82,0.0225,0.0235,0.023,24.0,70.9,40.595
BTC-25AUG23-24000-C,2023-5-25,2023-8-25,24000.0,call,26342.82,0.0,0.0,0.0,0.0,0.0,0.0
BTC-25AUG23-24000-P,2023-5-25,2023-8-25,24000.0,put,26342.82,0.0315,0.0325,0.032,223.8,507.6,39.19
BTC-25AUG23-25000-C,2023-5-25,2023-8-25,25000.0,call,26342.82,0.0,0.0,0.0,0.0,51.6,0.0
BTC-25AUG23-25000-P,2023-5-25,2023-8-25,25000.0,put,26342.82,0.044,0.0445,0.04425,13.7,67.8,38.22
BTC-25AUG23-26000-C,2023-5-25,2023-8-25,26000.0,call,26342.82,0.0775,0.079,0.07825,11.0,314.2,37.58
BTC-25AUG23-26000-P,2023-5-25,2023-8-25,26000.0,put,26342.82,0.059,0.061,0.06,86.3,354.7,37.53
BTC-25AUG23-27000-C,2023-5-25,2023-8-25,27000.0,call,26342.82,0.06,0.061,0.0605,306.3,393.2,37.45
BTC-25AUG23-27000-P,2023-5-25,2023-8-25,27000.0,put,26342.82,0.079,0.0815,0.08025,303.5,422.2,37.53
BTC-25AUG23-28000-C,2023-5-25,2023-8-25,28000.0,call,26342.82,0.046,0.047,0.0465,51.6,102.6,37.66
BTC-25AUG23-28000-P,2023-5-25,2023-8-25,28000.0,put,26342.82,0.0945,0.11,0.10225000000000001,0.1,329.8,36.735
BTC-25AUG23-29000-C,2023-5-25,2023-8-25,29000.0,call,26342.82,0.035,0.0365,0.035750000000000004,5.2,79.5,38.145
BTC-25AUG23-29000-P,2023-5-25,2023-8-25,29000.0,put,26342.82,0.0,0.0,0.0,0.0,22.3,0.0
BTC-25AUG23-30000-C,2023-5-25,2023-8-25,30000.0,call,26342.82,0.0275,0.0285,0.028,62.1,820.1,39.065
BTC-25AUG23-30000-P,2023-5-25,2023-8-25,30000.0,put,26342.82,0.0,0.0,0.0,0.0,0.0,0.0
BTC-25AUG23-31000-C,2023-5-25,2023-8-25,31000.0,call,26342.82,0.0215,0.023,0.02225,212.8,861.7,40.16
BTC-25AUG23-31000-P,2023-5-25,2023-8-25,31000.0,put,26342.82,0.0,0.0,0.0,0.0,6.0,0.0
BTC-25AUG23-32000-C,2023-5-25,2023-8-25,32000.0,call,26342.82,0.0175,0.0185,0.018000000000000002,35.0,575.9,41.4
BTC-25AUG23-32000-P,2023-5-25,2023-8-25,32000.0,put,26342.82,0.0,0.0,0.0,0.0,0.0,0.0
BTC-25AUG23-33000-C,2023-5-29,2023-8-25,33000.0,call,26342.82,0.0145,0.0155,0.015,85.2,147.0,42.900000000000006
BTC-25AUG23-33000-P,2023-5-29,2023-8-25,33000.0,put,26342.82,0.0,0.0,0.0,0.0,0.0,0.0
BTC-25AUG23-34000-C,2023-5-25,2023-8-25,34000.0,call,26342.82,0.012,0.013,0.0125,50.0,1145.9,44.224999999999994
BTC-25AUG23-34000-P,2023-5-25,2023-8-25,34000.0,put,26342.82,0.0,0.0,0.0,0.0,0.0,0.0
BTC-25AUG23-36000-C,2023-5-25,2023-8-25,36000.0,call,26342.82,0.0085,0.0095,0.009000000000000001,26.5,220.6,46.875
BTC-25AUG23-36000-P,2023-5-25,2023-8-25,36000.0,put,26342.82,0.0,0.0,0.0,0.0,0.0,0.0
BTC-25AUG23-38000-C,2023-5-25,2023-8-25,38000.0,call,26342.82,0.006,0.007,0.006500000000000001,21.1,77.3,49.06
BTC-25AUG23-38000-P,2023-5-25,2023-8-25,38000.0,put,26342.82,0.0,0.0,0.0,0.0,0.0,0.0
BTC-25AUG23-40000-C,2023-5-25,2023-8-25,40000.0,call,26342.82,0.0045,0.0055,0.004999999999999999,380.3,461.0,51.485
BTC-25AUG23-40000-P,2023-5-25,2023-8-25,40000.0,put,26342.82,0.0,0.0,0.0,0.0,0.0,0.0
BTC-25AUG23-42000-C,2023-5-25,2023-8-25,42000.0,call,26342.82,0.0035,0.0045,0.004,1.0,105.0,53.905
BTC-25AUG23-42000-P,2023-5-25,2023-8-25,42000.0,put,26342.82,0.0005,0.0,0.00025,0.0,9.0,0.0
