expiry_date,date,2023-05-12,2023-05-19,2023-05-26,2023-06-02,2023-06-09,2023-06-16,2023-06-23,2023-07-21,2023-08-18,2023-09-15,2023-10-20,2023-11-17,2023-12-15,2024-01-19,2024-03-15,2024-06-21,2024-09-20,2024-12-20,2025-01-17,2025-06-20,2025-12-19,2023-06-30,2023-07-07,2023-07-14,2023-07-28
sigma,2023-6-2,,,,,0.1020471447192492,0.1676163120068676,0.2077359170770185,0.3686255418824486,0.8167471658853105,0.7226478955758364,0.8134819012980812,0.7329127763377861,0.7334250100819129,0.7113894046456528,0.4954038047337425,0.7512421681038257,0.4649631158735572,0.5847020815679598,1.0479996738611848,0.8965239480481701,1.0947274823945927,0.2842939467220785,0.5454608156860099,,
a,2023-6-6,,,,,-0.0012845752587305,-0.0083922032358462,-0.0154731285598866,-0.1307600375387003,-0.0567361680207617,-0.1854691181254092,-0.1775720401197628,-0.1476920345061934,-0.1264029472996677,-0.1963410917382055,-0.1131265668304218,-0.1017768723400949,-0.1734564203448585,-0.1129650135853258,-0.3993376022066044,-0.1180138889889844,-0.6490989881072546,-0.0303621718265557,-0.023175538074699,-0.0433867501410989,
b,2023-6-6,,,,,0.0237124289157334,0.0530204651451627,0.0704936710089753,0.2043962046958323,0.140427149246736,0.2631935441782664,0.278498579594232,0.2556847805656947,0.2432295749469916,0.3100508080806434,0.2241661177082308,0.2777945494145074,0.2304823213044532,0.2080006184915873,0.2850326644608354,0.1829080191481322,0.3087784595095906,0.0947973045889035,0.0869392008084855,0.1225209595684451,
rho,2023-6-6,,,,,-0.4725453861027375,-0.0615473726595136,0.0525326395836113,0.2378151356480507,0.0738635527751047,0.3110447398327624,0.3596534751440907,0.3060139460964666,0.2914329948514146,0.3654385874427042,0.17676585841846,0.3373532577175445,-0.0218252163952281,-0.0811199049635815,-0.117949794672283,-0.2886768677250739,-0.2520812139711491,0.0151085681080393,-0.0509176770675109,0.2112703641553872,
m,2023-6-6,,,,,-0.0381399242947817,0.0035037571094648,0.0330976236231353,0.214613865015495,0.1235305364289732,0.3800332635703207,0.4404683519921797,0.403848171939951,0.405554899641652,0.5420021248735981,0.4034527269510929,0.52547451933822,0.4643238461920629,0.4558726070108472,0.4754240160873569,0.4674322950019839,0.4191178321990922,0.0292692521252601,0.0103163675282611,0.1251654575864521,
sigma,2023-6-6,,,,,0.0687290556157273,0.1746212645818284,0.2390810209212983,0.6769075956948507,0.4560172846274771,0.7805347373315608,0.7325596448371388,0.6746666181218919,0.6240317995978624,0.7566519056048835,0.6447356320499227,0.5433068412942659,0.9692372148630072,0.8477446314183619,1.627611342577295,1.1272436929717744,2.495235690985727,0.3415292557084962,0.2955760289478423,0.3878562760212244,
a,2023-6-8,,,,,,-0.0181301373290422,-0.0154601569216928,-0.1607306427611872,-0.1366436536981033,-0.1275675723385276,-0.1730165975134744,-0.0506748158238798,-0.0677215626454214,-0.1795240510211015,-0.0610469908521328,-0.1173986647904751,-0.025790397669607,-0.1444706815213394,-0.0619191471486416,-0.8931995977389624,-0.3624718167999792,-0.0184825510555018,-0.0240530189203114,-0.04338514307301,
b,2023-6-8,,,,,,0.0730971021193928,0.0704701609810961,0.2308750936035588,0.2264986518240325,0.2336423643444762,0.2845565267143474,0.1422955724782666,0.2009689898458022,0.3042132345881857,0.2240979826810758,0.2068115394897508,0.1908117215247834,0.2217142074661602,0.1813122913413433,0.3713634195392634,0.2600756558738479,0.0776510324085174,0.0880523147116933,0.1225303804171934,
rho,2023-6-8,,,,,,-0.0179067241318147,0.0524858894560148,0.2825762075528957,0.2933247106004319,0.335324243690621,0.3957471972011139,0.062616806433031,0.2862847559950188,0.3773457147368771,0.3212237915429766,0.0239315495433721,0.1568987081854736,-0.0671411079771693,-0.1046510261993425,-0.1454458836524175,-0.2642027005680251,-0.0277355850515497,-0.0481650216672612,0.2113956518461048,
m,2023-6-8,,,,,,0.0106858296901864,0.0330805118919054,0.2681363600089534,0.2971853293369386,0.3467654015941122,0.4707712928265357,0.2444702246184091,0.3494604187911481,0.5377458443759245,0.4176451775192075,0.4129297811319318,0.4582757668281539,0.4639454838798358,0.4573195089489771,0.4656673563787984,0.4357601733378751,0.0153392269639415,0.010913174456542,0.125204018688382,
sigma,2023-6-8,,,,,,0.2599945649860922,0.2389690612134659,0.7421869217964581,0.6642069984642733,0.6228406820854071,0.7103100733506749,0.4684507264246955,0.446286454231487,0.7149199165030675,0.4207994353180562,0.7598036410523454,0.4063314615095292,0.9392794729839232,0.7109979782149305,2.644298768925506,1.8582087740751592,0.263286104744859,0.3018729861233863,0.387816600771427,
a,2023-6-7,,,,,-0.0026987295686995,-0.0213339262736792,-0.0206666328414814,-0.1235683202586764,-0.1159542194986492,-0.1052808346779891,-0.1096304902212496,-0.0378924194759236,-0.1104603585212532,-0.0770521909247663,-0.1024160735539919,-0.0767783024581744,-0.0271765122118813,-0.2448558500267807,-0.4044527424663191,0.0561594362437605,0.1233507434100722,-0.0076321923299307,-0.1495996662965283,-0.0522088148715409,
b,2023-6-7,,,,,0.0289663150447528,0.0801350736251485,0.0792235080764389,0.207519647816777,0.2052355114503505,0.2224591814160454,0.1888119440129776,0.1596689326325394,0.2509067987181783,0.217214442211834,0.2056394185796276,0.2708350654742485,0.1994837960308921,0.2473927506455138,0.2952282739286336,0.1870693036219011,0.0692990240411759,0.0576689022226982,0.2499362618947269,0.1364072982408138,
rho,2023-6-7,,,,,0.0575929194921573,0.0320671760012916,-0.0749569802289697,0.2971728649942772,0.2775513675021573,0.3646767730940388,0.1415961358813114,0.2372953513829058,0.3487722076518849,0.2779842438282452,0.1368679394227193,0.3738276783135117,0.1837414206193725,-0.0682446478775605,-0.0944472953738691,0.1874488128422994,-1.0,-0.0232595197279699,-0.4272548930729708,0.2563076715893729,
m,2023-6-7,,,,,0.0044848253429597,0.0256487899745684,-0.0017444895944849,0.2562856242896347,0.2827107681505294,0.3506626736365571,0.2717512400734165,0.2841034854514116,0.4260817337031484,0.3810589780765638,0.3985309643121042,0.5300677556029117,0.467576862529776,0.4909058072021617,0.4768680730779371,0.4508233033517907,0.3321868723014717,0.0217410613234155,-0.2983548313378805,0.162254013872984,
sigma,2023-6-7,,,,,0.1049450168490266,0.2807431260575616,0.2837721413152337,0.6441648149096926,0.6279916607840177,0.5565408275894443,0.6582431795139423,0.3483992897798174,0.5508247256970444,0.4748330768137903,0.6547237607750704,0.4749243356934018,0.4116151709370614,1.2597857341623604,1.6052653044243783,0.2272086479781878,0.1207931936774355,0.1716580565853672,0.6749852094113946,0.422465489036982,
a,2023-6-14,,,,,,-11.974270905362165,-0.0075012778756847,-0.0821352557767292,-0.2735128443810932,-0.2223061503968554,-0.156121488270853,-0.1780900312447548,-0.1376786035792405,-0.204420373453501,-0.1683555745208697,-0.1284709060923888,-0.0948326752219691,-0.1143975540962444,-0.351994575952039,-3.320987194984306,0.006522339377561,-0.0106866099786992,-0.01080991429228,-1.1616639779766338,-0.1381651505983003
b,2023-6-14,,,,,,1.83333308358848,0.0501560472589514,0.1590841494472421,0.2801316634492628,0.2679787932970132,0.2274565973394832,0.264208390627168,0.254734917885629,0.3114002154185375,0.2532457263444822,0.267772278927854,0.2284145491043912,0.2141029119484058,0.2786835329358921,0.6320402639269597,0.1478761213923537,0.0615524011410898,0.0632351568606016,0.5636198262809398,0.2031667405695564
rho,2023-6-14,,,,,,1.3863169252914098e-11,0.0192980531277248,0.1641993956717774,0.2341981455866272,0.2704880234222703,0.1992357531571289,0.2740638158021848,0.2959721091236574,0.3581165641934821,0.1876692774022672,0.2679363262218298,0.1457532008616848,-0.0415786576713909,-0.1014439573782053,-0.278487820701312,-1.0000000000000009,0.0431424710534016,-0.0450488687101275,-0.2636479235411936,0.2616623228531929
